,,,"Vancouver, City [Census subdivision], British Columbia",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Ethnic origin population","      Berber",,      65,,      40,,      25,,   37060,,   19685,,   17375,
"Ethnic origin population","      Coptic",,      10,,       0,,       0,,    3535,,    1860,,    1680,
"Ethnic origin population","      Dinka",,       0,,       0,,       0,,     900,,     500,,     400,
"Ethnic origin population","      Egyptian",,     790,,     415,,     375,,   99140,,   51730,,   47410,
"Ethnic origin population","      Libyan",,      55,,      50,,      10,,    7740,,    4135,,    3605,
"Ethnic origin population","      Maure",,      60,,      20,,      45,,    1190,,     655,,     535,
"Ethnic origin population","      Moroccan",,     590,,     330,,     265,,  103940,,   54005,,   49945,
"Ethnic origin population","      Sudanese",,     110,,      45,,      70,,   19960,,   10315,,    9645,
"Ethnic origin population","      Tunisian",,     200,,     120,,      80,,   25645,,   13985,,   11665,
"Ethnic origin population","      North African origins; n.i.e.",118,      70,,      45,,      20,,    6115,,    3320,,    2795,
"Ethnic origin population","    Southern and East African origins",,    3955,,    2060,,    1895,,  260145,,  128325,,  131815,
"Ethnic origin population","      Afrikaner",,     150,,      60,,      90,,    1870,,     955,,     915,
"Ethnic origin population","      Amhara",,      10,,       0,,      10,,    1530,,     815,,     715,
"Ethnic origin population","      Bantu; n.o.s.",119,      20,,      10,,      10,,    3965,,    2175,,    1785,
"Ethnic origin population","      Burundian",,      35,,      15,,      15,,   10990,,    5405,,    5580,
"Ethnic origin population","      Djiboutian",,       0,,       0,,       0,,    1710,,     790,,     920,
"Ethnic origin population","      Eritrean",,     170,,      90,,      80,,   25255,,   12830,,   12430,
"Ethnic origin population","      Ethiopian",,     535,,     300,,     235,,   44065,,   21680,,   22385,
"Ethnic origin population","      Harari",,       0,,       0,,       0,,     665,,     355,,     305,
"Ethnic origin population","      Kenyan",,     195,,     115,,      80,,   10915,,    5230,,    5685,
"Ethnic origin population","      Malagasy",,      30,,      15,,      10,,    4500,,    2175,,    2325,
"Ethnic origin population","      Mauritian",,     140,,      65,,      70,,    9325,,    4655,,    4665,
"Ethnic origin population","      Oromo",,      70,,      35,,      30,,    3350,,    1745,,    1605,
"Ethnic origin population","      Rwandan",,     120,,      75,,      45,,   10775,,    5065,,    5705,
"Ethnic origin population","      Seychellois",,      10,,       0,,       0,,    1285,,     575,,     710,
"Ethnic origin population","      Somali",,     330,,     175,,     155,,   62550,,   30215,,   32330,
"Ethnic origin population","      South African",,    1555,,     750,,     800,,   41375,,   20575,,   20800,
"Ethnic origin population","      Tanzanian",,     130,,      70,,      55,,    4710,,    2400,,    2310,
"Ethnic origin population","      Tigrian",,      30,,      10,,      20,,    2155,,    1160,,     995,
"Ethnic origin population","      Ugandan",,     135,,      95,,      35,,    5705,,    2875,,    2830,
"Ethnic origin population","      Zambian",,      55,,      30,,      25,,    1860,,     935,,     920,
"Ethnic origin population","      Zimbabwean",,     175,,      75,,     100,,    8090,,    3975,,    4110,
"Ethnic origin population","      Zulu",,      10,,      10,,       0,,     945,,     475,,     475,
"Ethnic origin population","      Southern and East African origins; n.i.e.",120,     300,,     155,,     140,,   17305,,    8445,,    8860,
"Ethnic origin population","    Other African origins",,    2820,,    1470,,    1345,,  239560,,  116400,,  123165,
"Ethnic origin population","      Black; n.o.s.",121,     385,,     210,,     180,,   30385,,   14015,,   16370,
"Ethnic origin population","      Other African origins; n.i.e.",122,    2465,,    1280,,    1185,,  212005,,  103790,,  108215,
"Ethnic origin population","  Asian origins",,  306450,,  142795,,  163655,, 6095235,, 2958120,, 3137115,
"Ethnic origin population","    West Central Asian and Middle Eastern origins",,   19110,,   10215,,    8895,, 1011145,,  518170,,  492980,
"Ethnic origin population","      Afghan",,     535,,     300,,     235,,   83995,,   42320,,   41675,
"Ethnic origin population","      Arab; n.o.s.",123,    1075,,     625,,     455,,  111400,,   58930,,   52475,
"Ethnic origin population","      Armenian",,     970,,     525,,     440,,   63810,,   31505,,   32305,
"Ethnic origin population","      Assyrian",,      95,,      55,,      35,,   13835,,    7115,,    6720,
"Ethnic origin population","      Azerbaijani",,     180,,     105,,      75,,    6425,,    3230,,    3200,
"Ethnic origin population","      Georgian",,     150,,      90,,      55,,    4775,,    2430,,    2345,
"Ethnic origin population","      Hazara",,       0,,       0,,       0,,    1515,,     810,,     705,
"Ethnic origin population","      Iranian",,    9385,,    4880,,    4500,,  210405,,  106565,,  103840,
"Ethnic origin population","      Iraqi",,     690,,     335,,     360,,   70925,,   35965,,   34955,
"Ethnic origin population","      Israeli",,    1005,,     515,,     490,,   28735,,   15065,,   13675,
"Ethnic origin population","      Jordanian",,     155,,      80,,      70,,   14250,,    7520,,    6735,
"Ethnic origin population","      Kazakh",,      75,,      50,,      25,,    3330,,    1615,,    1710,
"Ethnic origin population","      Kurd",,     500,,     275,,     220,,   16315,,    8810,,    7515,
"Ethnic origin population","      Kuwaiti",,      40,,      30,,      10,,    2235,,    1185,,    1055,
"Ethnic origin population","      Kyrgyz",,      25,,      10,,      15,,    1060,,     510,,     550,
"Ethnic origin population","      Lebanese",,    1470,,     785,,     685,,  219555,,  112970,,  106590,
"Ethnic origin population","      Palestinian",,     380,,     210,,     170,,   44820,,   23900,,   20920,
"Ethnic origin population","      Pashtun",,      75,,      35,,      35,,    4810,,    2565,,    2245,
"Ethnic origin population","      Saudi Arabian",,     345,,     195,,     150,,    6810,,    3935,,    2880,
"Ethnic origin population","      Syrian",,     600,,     290,,     310,,   77045,,   38445,,   38600,
"Ethnic origin population","      Tajik",,      35,,      25,,      15,,    2905,,    1410,,    1495,
"Ethnic origin population","      Tatar",,     225,,      95,,     125,,    4825,,    2155,,    2670,
"Ethnic origin population","      Turk",,    1820,,    1060,,     760,,   63955,,   32855,,   31100,
"Ethnic origin population","      Turkmen",,      10,,      10,,       0,,    1040,,     540,,     500,
"Ethnic origin population","      Uighur",,      10,,      10,,       0,,    1555,,     775,,     785,
"Ethnic origin population","      Uzbek",,      75,,      40,,      30,,    3920,,    1920,,    2000,
"Ethnic origin population","      Yemeni",,      90,,      60,,      25,,    6645,,    3335,,    3305,
"Ethnic origin population","      West Central Asian and Middle Eastern origins; n.i.e.",124,     540,,     305,,     240,,   25280,,   13180,,   12100,
"Ethnic origin population","    South Asian origins",,   37625,,   19095,,   18535,, 1963330,,  993595,,  969735,
"Ethnic origin population","      Bangladeshi",,     475,,     245,,     225,,   45940,,   23645,,   22300,
"Ethnic origin population","      Bengali",,     235,,      95,,     130,,   22900,,   11730,,   11180,
"Ethnic origin population","      Bhutanese",,       0,,       0,,      10,,    3600,,    1765,,    1835,
"Ethnic origin population","      East Indian",,   31430,,   15840,,   15590,, 1374710,,  694990,,  679720,
"Ethnic origin population","      Goan",,      95,,      45,,      50,,    6070,,    2915,,    3155,
"Ethnic origin population","      Gujarati",,     170,,     100,,      70,,    8350,,    4305,,    4050,
"Ethnic origin population","      Kashmiri",,      20,,      10,,      10,,    3115,,    1605,,    1510,
"Ethnic origin population","      Nepali",,     320,,     165,,     150,,   17140,,    8715,,    8420,
"Ethnic origin population","      Pakistani",,    1320,,     705,,     615,,  215555,,  110420,,  105140,
"Ethnic origin population","      Punjabi",,    2505,,    1280,,    1225,,  118400,,   61155,,   57240,
"Ethnic origin population","      Sinhalese",,      65,,      30,,      35,,    7285,,    3605,,    3685,
"Ethnic origin population","      Sri Lankan",,    1530,,     820,,     705,,  152595,,   75010,,   77585,
"Ethnic origin population","      Tamil",,     360,,     185,,     170,,   48670,,   24845,,   23825,
"Ethnic origin population","      South Asian origins; n.i.e.",125,     775,,     365,,     405,,   76400,,   38815,,   37585,
"Ethnic origin population","    East and Southeast Asian origins",,  251175,,  114315,,  136860,, 3163360,, 1467205,, 1696155,
"Ethnic origin population","      Burmese",,     725,,     355,,     365,,    9335,,    4535,,    4795,
"Ethnic origin population","      Cambodian (Khmer)",,     755,,     355,,     395,,   38490,,   18515,,   19980,
"Ethnic origin population","      Chinese",,  175200,,   81595,,   93605,, 1769195,,  836150,,  933045,
"Ethnic origin population","      Filipino",,   39480,,   16880,,   22595,,  837130,,  369105,,  468025,
"Ethnic origin population","      Hmong",,       0,,       0,,       0,,     805,,     420,,     390,
"Ethnic origin population","      Indonesian",,    1295,,     640,,     650,,   21390,,    9950,,   11440,
"Ethnic origin population","      Japanese",,   12765,,    5105,,    7655,,  121485,,   53415,,   68070,
"Ethnic origin population","      Karen",,       0,,       0,,       0,,    4510,,    2275,,    2240,
"Ethnic origin population","      Korean",,   10200,,    4510,,    5685,,  198210,,   93680,,  104525,
"Ethnic origin population","      Laotian",,     240,,     105,,     130,,   24580,,   12190,,   12390,
"Ethnic origin population","      Malaysian",,    1225,,     535,,     690,,   16920,,    7735,,    9185,
"Ethnic origin population","      Mongolian",,     390,,     175,,     215,,    7480,,    3560,,    3915,
"Ethnic origin population","      Singaporean",,     240,,     110,,     130,,    2850,,    1325,,    1520,
"Ethnic origin population","      Taiwanese",,    5875,,    2560,,    3320,,   36510,,   16570,,   19945,
"Ethnic origin population","      Thai",,    1305,,     490,,     815,,   19010,,    7330,,   11680,
"Ethnic origin population","      Tibetan",,     155,,      75,,      85,,    8040,,    4055,,    3985,
"Ethnic origin population","      Vietnamese",,   15690,,    7575,,    8115,,  240615,,  115935,,  124680,
"Ethnic origin population","      East and Southeast Asian origins; n.i.e.",126,     180,,      90,,      90,,    6500,,    3150,,    3355,
"Ethnic origin population","    Other Asian origins",,     495,,     230,,     270,,   22745,,   11280,,   11460,
"Ethnic origin population","      Other Asian origins; n.i.e.",127,     500,,     230,,     265,,   22740,,   11280,,   11460,
"Ethnic origin population","  Oceania origins",,    6045,,    3060,,    2980,,   85470,,   43030,,   42440,
"Ethnic origin population","    Australian",,    3000,,    1520,,    1480,,   42315,,   21710,,   20605,
"Ethnic origin population","    New Zealander",,    1020,,     530,,     495,,   15395,,    8065,,    7330,
"Ethnic origin population","    Pacific Islands origins",,    2140,,    1065,,    1070,,   29485,,   14240,,   15250,
"Ethnic origin population","      Fijian",,    1655,,     820,,     835,,   19375,,    9280,,   10090,
"Ethnic origin population","      Hawaiian",,     100,,      45,,      60,,    3295,,    1500,,    1795,
"Ethnic origin population","      Maori",,     160,,      95,,      65,,    2500,,    1310,,    1195,
"Ethnic origin population","      Polynesian; n.o.s.",128,      75,,      35,,      40,,    1530,,     725,,     805,
"Ethnic origin population","      Samoan",,      55,,      30,,      20,,    1100,,     625,,     475,
"Ethnic origin population","      Pacific Islands origins; n.i.e.",129,     130,,      70,,      60,,    2335,,    1145,,    1185,
"Household characteristics","Total - Private households by tenure - 25% sample data",130,  283915,,,...,,...,14072075,,,...,,...
"Household characteristics","  Owner",,  133165,,,...,,..., 9541320,,,...,,...
"Household characteristics","  Renter",,  150750,,,...,,..., 4474530,,,...,,...
"Household characteristics","  Band housing",,       0,,,...,,...,   56230,,,...,,...
"Household characteristics","Total - Occupied private dwellings by condominium status - 25% sample data",131,  283915,,,...,,...,14072075,,,...,,...
"Household characteristics","  Condominium",,   94835,,,...,,..., 1874840,,,...,,...
"Household characteristics","  Not condominium",,  189085,,,...,,...,12197240,,,...,,...
"Household characteristics","Total - Occupied private dwellings by number of bedrooms - 25% sample data",132,  283915,,,...,,...,14072080,,,...,,...
"Household characteristics","  No bedrooms",,   11980,,,...,,...,   93345,,,...,,...
"Household characteristics","  1 bedroom",,  104540,,,...,,..., 1925015,,,...,,...
"Household characteristics","  2 bedrooms",,   76480,,,...,,..., 3547090,,,...,,...
"Household characteristics","  3 bedrooms",,   37845,,,...,,..., 4836485,,,...,,...
"Household characteristics","  4 or more bedrooms",,   53080,,,...,,..., 3670145,,,...,,...
"Household characteristics","Total - Occupied private dwellings by number of rooms - 25% sample data",133,  283915,,,...,,...,14072075,,,...,,...
"Household characteristics","  1 to 4 rooms",,  168460,,,...,,..., 4068915,,,...,,...
"Household characteristics","  5 rooms",,   34380,,,...,,..., 2177045,,,...,,...
"Household characteristics","  6 rooms",,   21640,,,...,,..., 1981585,,,...,,...
"Household characteristics","  7 rooms",,   16450,,,...,,..., 1790180,,,...,,...
"Household characteristics","  8 or more rooms",,   42985,,,...,,..., 4054355,,,...,,...
"Household characteristics","Average number of rooms per dwelling",,  4.6,,,...,,...,  6.2,,,...,,...
"Household characteristics","Total - Private households by number of persons per room - 25% sample data",134,  283920,,,...,,...,14072080,,,...,,...
"Household characteristics","  One person or fewer per room",,  275495,,,...,,...,13802060,,,...,,...
"Household characteristics","  More than 1 person per room",,    8420,,,...,,...,  270020,,,...,,...
"Household characteristics","Total - Private households by housing suitability - 25% sample data",135,  283920,,,...,,...,14072075,,,...,,...
"Household characteristics","  Suitable",,  261250,,,...,,...,13376345,,,...,,...
"Household characteristics","  Not suitable",,   22670,,,...,,...,  695730,,,...,,...
"Household characteristics","Total - Occupied private dwellings by period of construction - 25% sample data",136,  283915,,,...,,...,14072080,,,...,,...
"Household characteristics","  1960 or before",,   66045,,,...,,..., 3126380,,,...,,...
"Household characteristics","  1961 to 1980",,   71140,,,...,,..., 4185510,,,...,,...
"Household characteristics","  1981 to 1990",,   36320,,,...,,..., 1977640,,,...,,...
"Household characteristics","  1991 to 2000",,   45205,,,...,,..., 1746390,,,...,,...
"Household characteristics","  2001 to 2005",,   20135,,,...,,...,  976390,,,...,,...
"Household characteristics","  2006 to 2010",,   23410,,,...,,..., 1089750,,,...,,...
"Household characteristics","  2011 to 2016",137,   21655,,,...,,...,  970015,,,...,,...
"Household characteristics","Total - Occupied private dwellings by dwelling condition - 25% sample data",138,  283920,,,...,,...,14072080,,,...,,...
"Household characteristics","  Only regular maintenance or minor repairs needed",,  264890,,,...,,...,13151600,,,...,,...
"Household characteristics","  Major repairs needed",,   19035,,,...,,...,  920480,,,...,,...
"Household characteristics","Total - Private households by number of household maintainers - 25% sample data",139,  283915,,,...,,...,14072080,,,...,,...
"Household characteristics","  1 household maintainer",,  177130,,,...,,..., 8324865,,,...,,...
"Household characteristics","  2 household maintainers",,   95330,,,...,,..., 5404800,,,...,,...
"Household characteristics","  3 or more household maintainers",,   11455,,,...,,...,  342415,,,...,,...
"Household characteristics","Total - Private households by age of primary household maintainers - 25% sample data",140,  283915,,,...,,...,14072080,,,...,,...
"Household characteristics","  15 to 24 years",,   12335,,,...,,...,  437230,,,...,,...
"Household characteristics","  25 to 34 years",,   59460,,,...,,..., 1991685,,,...,,...
"Household characteristics","  35 to 44 years",,   51270,,,...,,..., 2414920,,,...,,...
"Household characteristics","  45 to 54 years",,   54950,,,...,,..., 2862870,,,...,,...
"Household characteristics","  55 to 64 years",,   47830,,,...,,..., 2859315,,,...,,...
"Household characteristics","  65 to 74 years",,   33030,,,...,,..., 2034220,,,...,,...
"Household characteristics","  75 to 84 years",,   17770,,,...,,..., 1084700,,,...,,...
"Household characteristics","  85 years and over",,    7270,,,...,,...,  387135,,,...,,...
"Household characteristics","Total -  Owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",141,  283180,,,...,,...,13798305,,,...,,...
"Household characteristics","  Spending less than 30% of income on shelter costs",,  179670,,,...,,...,10472355,,,...,,...
"Household characteristics","  Spending 30% or more of income on shelter costs",,  103505,,,...,,..., 3325950,,,...,,...
"Household characteristics","    30% to less than 100%",,   80050,,,...,,..., 2861615,,,...,,...
"Household characteristics","Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data",,  133160,,,...,,..., 9368330,,,...,,...
"Household characteristics","  % of owner households with a mortgage",142, 53.1,,,...,,..., 60.7,,,...,,...
"Household characteristics","  % of owner households spending 30% or more of its income on shelter costs",141, 27.8,,,...,,..., 16.6,,,...,,...
"Household characteristics","  Median monthly shelter costs for owned dwellings ($)",143,    1306,,,...,,...,    1130,,,...,,...
"Household characteristics","  Average monthly shelter costs for owned dwellings ($)",143,    1714,,,...,,...,    1313,,,...,,...
"Household characteristics","  Median value of dwellings ($)",144, 1102843,,,...,,...,  341556,,,...,,...
"Household characteristics","  Average value of dwellings ($)",144, 1414191,,,...,,...,  443058,,,...,,...
"Household characteristics","Total - Tenant households in non-farm; non-reserve private dwellings - 25% sample data",,  150750,,,...,,..., 4452850,,,...,,...
"Household characteristics","  % of tenant households in subsidized housing",145, 13.7,,,...,,..., 13.0,,,...,,...
"Household characteristics","  % of tenant households spending 30% or more of its income on shelter costs",141, 44.3,,,...,,..., 40.0,,,...,,...
"Household characteristics","  Median monthly shelter costs for rented dwellings ($)",143,    1206,,,...,,...,     910,,,...,,...
"Household characteristics","  Average monthly shelter costs for rented dwellings ($)",143,    1296,,,...,,...,    1002,,,...,,...
" Highest certificate; diploma or degree","Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data",146,  547845,,  265110,,  282730,,28643015,,13990435,,14652580,
" Highest certificate; diploma or degree","  No certificate; diploma or degree",,   68855,,   32620,,   36240,, 5239575,, 2667995,, 2571585,
" Highest certificate; diploma or degree","  Secondary (high) school diploma or equivalency certificate",147,  132610,,   66710,,   65895,, 7576400,, 3686630,, 3889770,
" Highest certificate; diploma or degree","  Postsecondary certificate; diploma or degree",,  346380,,  165785,,  180595,,15827040,, 7635805,, 8191230,
" Highest certificate; diploma or degree","    Apprenticeship or trades certificate or diploma",,   26340,,   17180,,    9160,, 2800260,, 1906610,,  893650,
" Highest certificate; diploma or degree","      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification",148,   14210,,    7865,,    6350,, 1549880,,  880365,,  669515,
" Highest certificate; diploma or degree","      Certificate of Apprenticeship or Certificate of Qualification",149,   12130,,    9320,,    2805,, 1250385,, 1026250,,  224140,
" Highest certificate; diploma or degree","    College; CEGEP or other non-university certificate or diploma",,   81815,,   36970,,   44850,, 5553825,, 2326940,, 3226890,
" Highest certificate; diploma or degree","    University certificate or diploma below bachelor level",,   19320,,    8245,,   11075,,  813335,,  331940,,  481395,
" Highest certificate; diploma or degree","    University certificate; diploma or degree at bachelor level or above",,  218905,,  103390,,  115515,, 6659615,, 3070315,, 3589300,
" Highest certificate; diploma or degree","      Bachelor's degree",,  139740,,   64755,,   74985,, 4443835,, 1967905,, 2475935,
" Highest certificate; diploma or degree","      University certificate or diploma above bachelor level",,   13930,,    5980,,    7945,,  462295,,  203725,,  258570,
" Highest certificate; diploma or degree","      Degree in medicine; dentistry; veterinary medicine or optometry",,    7290,,    3985,,    3305,,  190925,,  102530,,   88395,
" Highest certificate; diploma or degree","      Master's degree",,   47805,,   22780,,   25030,, 1331045,,  651510,,  679535,
" Highest certificate; diploma or degree","      Earned doctorate",150,   10130,,    5890,,    4240,,  231510,,  144640,,   86870,
" Highest certificate; diploma or degree","Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",146,  384595,,  187670,,  196925,,18931380,, 9268555,, 9662830,
" Highest certificate; diploma or degree","  No certificate; diploma or degree",,   27410,,   14020,,   13390,, 2169790,, 1200110,,  969685,
" Highest certificate; diploma or degree","  Secondary (high) school diploma or equivalency certificate",147,   76050,,   39660,,   36390,, 4494585,, 2247020,, 2247565,
" Highest certificate; diploma or degree","  Postsecondary certificate; diploma or degree",,  281135,,  133990,,  147145,,12267005,, 5821425,, 6445580,
" Highest certificate; diploma or degree","    Apprenticeship or trades certificate or diploma",,   19105,,   12580,,    6520,, 2042430,, 1377775,,  664650,
" Highest certificate; diploma or degree","      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification",148,   10295,,    5750,,    4545,, 1145035,,  639785,,  505250,
" Highest certificate; diploma or degree","      Certificate of Apprenticeship or Certificate of Qualification",149,    8805,,    6830,,    1975,,  897390,,  737990,,  159405,
" Highest certificate; diploma or degree","    College; CEGEP or other non-university certificate or diploma",,   64825,,   29980,,   34845,, 4241985,, 1786065,, 2455920,
" Highest certificate; diploma or degree","    University certificate or diploma below bachelor level",,   14795,,    6385,,    8410,,  580885,,  240040,,  340850,
" Highest certificate; diploma or degree","    University certificate; diploma or degree at bachelor level or above",,  182415,,   85045,,   97370,, 5401705,, 2417555,, 2984155,
" Highest certificate; diploma or degree","      Bachelor's degree",,  116190,,   53775,,   62410,, 3590080,, 1562160,, 2027925,
" Highest certificate; diploma or degree","      University certificate or diploma above bachelor level",,   11335,,    4815,,    6525,,  362455,,  151205,,  211250,
" Highest certificate; diploma or degree","      Degree in medicine; dentistry; veterinary medicine or optometry",,    5835,,    2935,,    2900,,  153290,,   74440,,   78855,
" Highest certificate; diploma or degree","      Master's degree",,   41295,,   19260,,   22035,, 1120190,,  527335,,  592850,
" Highest certificate; diploma or degree","      Earned doctorate",150,    7765,,    4265,,    3500,,  175685,,  102415,,   73275,
"Major field of study - Classification of Instructional Programs (CIP) 2016","Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data",151,  547845,,  265110,,  282735,,28643015,,13990430,,14652585,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  No postsecondary certificate; diploma or degree",152,  201465,,   99325,,  102140,,12815980,, 6354625,, 6461350,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Education",,   17510,,    4215,,   13295,, 1060095,,  251290,,  808800,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    13. Education",,   17510,,    4215,,   13300,, 1060095,,  251290,,  808805,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Visual and performing arts; and communications technologies",,   30255,,   14815,,   15435,,  596230,,  268050,,  328180,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    10. Communications technologies/technicians and support services",,    4715,,    3630,,    1090,,   99020,,   72865,,   26150,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    50. Visual and performing arts",,   25530,,   11180,,   14350,,  497210,,  195185,,  302025,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Humanities",,   26035,,   10245,,   15790,,  850840,,  330490,,  520345,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    16. Aboriginal and foreign languages; literatures and linguistics",,    3260,,     815,,    2445,,   98000,,   22100,,   75900,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    23. English language and literature/letters",,    8755,,    2870,,    5880,,  178590,,   52785,,  125810,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    24. Liberal arts and sciences; general studies and humanities",,    6330,,    2525,,    3805,,  275525,,  104135,,  171390,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30A Interdisciplinary humanities",153,     160,,      55,,     105,,    4160,,    1640,,    2520,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    38. Philosophy and religious studies",,    1820,,    1085,,     735,,   51930,,   30185,,   21750,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    39. Theology and religious vocations",,    1260,,     710,,     555,,   77490,,   46285,,   31200,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    54. History",,    3510,,    1980,,    1535,,  111465,,   59965,,   51500,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    55. French language and literature/letters",,     935,,     205,,     730,,   53680,,   13400,,   40290,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Social and behavioural sciences and law",,   54630,,   21575,,   33055,, 1761900,,  586455,, 1175445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    05. Area; ethnic; cultural; gender; and group studies",,    1280,,     365,,     915,,   24685,,    5660,,   19025,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    09. Communication; journalism and related programs",,    6880,,    2445,,    4430,,  182275,,   68030,,  114245,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    19. Family and consumer sciences/human sciences",,    4605,,     610,,    3995,,  324660,,   26065,,  298595,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    22. Legal professions and studies",,    8760,,    3955,,    4810,,  289600,,  102660,,  186945,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30B Interdisciplinary social and behavioural sciences",154,    1175,,     335,,     835,,   35445,,    8150,,   27295,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    42. Psychology",,    9965,,    3005,,    6965,,  281470,,   71230,,  210230,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    45. Social sciences",,   21970,,   10860,,   11105,,  623775,,  304660,,  319110,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Business; management and public administration",,   72550,,   32610,,   39950,, 3360045,, 1272475,, 2087565,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.16 Accounting and computer science",,      75,,      25,,      50,,    6190,,    1850,,    4340,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    44. Public administration and social service professions",,    3550,,     905,,    2645,,  237835,,   48815,,  189015,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    52. Business; management; marketing and related support services",,   68920,,   31675,,   37250,, 3116025,, 1221805,, 1894215,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Physical and life sciences and technologies",,   19140,,   10090,,    9045,,  614280,,  315665,,  298615,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    26. Biological and biomedical sciences",,    8990,,    4195,,    4800,,  249955,,  105560,,  144400,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.01 Biological and physical sciences",,    3875,,    1865,,    2015,,  125600,,   61685,,   63915,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30C Other interdisciplinary physical and life sciences",155,     210,,      50,,     165,,   28155,,   12625,,   15530,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    40. Physical sciences",,    5750,,    3870,,    1880,,  179305,,  122815,,   56485,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    41. Science technologies/technicians",,     305,,     115,,     190,,   31270,,   12980,,   18290,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Mathematics; computer and information sciences",,   17065,,   11465,,    5605,,  651480,,  420370,,  231110,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    11. Computer and information sciences and support services",,   13090,,    9605,,    3480,,  514685,,  356435,,  158250,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    25. Library science",,    1315,,     265,,    1045,,   40820,,    6495,,   34320,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    27. Mathematics and statistics",,    2440,,    1450,,     995,,   86655,,   50930,,   35725,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30D Interdisciplinary mathematics; computer and information sciences",156,     220,,     140,,      80,,    9325,,    6510,,    2815,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Architecture; engineering; and related technologies",,   47600,,   39795,,    7805,, 3327405,, 3022700,,  304700,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    04. Architecture and related services",,    5175,,    3075,,    2105,,  114315,,   72880,,   41435,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    14. Engineering",,   20405,,   16190,,    4210,,  752465,,  615880,,  136585,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    15. Engineering technologies and engineering-related fields",,    6950,,    6100,,     850,,  620065,,  551855,,   68205,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.12 Historic preservation and conservation",,      25,,      20,,      10,,     410,,      85,,     325,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    46. Construction trades",,    6645,,    6405,,     240,,  702155,,  682710,,   19445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    47. Mechanic and repair technologies/technicians",,    5840,,    5625,,     210,,  731135,,  709430,,   21705,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    48. Precision production",,    2565,,    2385,,     185,,  406855,,  389850,,   17005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Agriculture; natural resources and conservation",,    4845,,    2480,,    2365,,  339050,,  219040,,  120010,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    01. Agriculture; agriculture operations and related sciences",,    2545,,    1190,,    1360,,  205930,,  127925,,   78005,
